word,count
要,22
融入,1
平原,1
各國,3
旅程,1
國家偉大,1
謝謝,1
海洋,1
第二,2
代工,1
高度,1
古調,1
第三件,1
歌曲,1
亞太地區,1
：,3
美國,1
一切,1
減碳,1
 ,7
發展,20
扛起,2
永續,4
所以,2
第四件,1
妥善,2
被,2
輪,1
表演,1
繁榮,1
改革方案,1
迫切需要,1
體,1
雖然,1
難關,2
事務,2
分享,1
從此,1
沒有,3
召集人,1
成立,1
各位,3
進,1
東協,1
藉,1
一刻起,1
各方,1
現場,2
相同,1
金,6
困境,1
就會,1
過程,5
艱鉅,1
出面,1
任總統,1
顧系統,1
輕人處,1
凝聚,1
第四,2
薪資,1
單一市場,1
參與區域,2
工程,1
貢獻,2
這段,1
進行後續,1
承擔,5
第五,1
人心,1
創業,1
這象,1
另外,2
清責任,1
年,23
核心,1
相互,2
老人,1
國土,3
疾病,1
替,2
使節,1
政治工作者,1
的,286
與,45
十分,1
諒解,2
設立,1
溝通,5
享受,1
價值,4
夥伴,1
第五件,1
全力,1
而偉大,1
從現,1
永不,1
良性,1
我願,1
實際,1
三年,1
期許,1
以前,2
之間,2
跨國,1
氣候,2
官方,1
老年,1
全球性,3
正義最,1
制定,1
給我們,1
兩岸關,5
之,1
再多個,1
歐洲,1
自信,1
做出,2
則,1
已經,6
保障,2
民主,22
當中,2
平等,1
世代,2
和平,9
準備,1
不改,1
更會,1
也,22
我們,85
看待,1
溫室,1
兩會會,1
記得,2
亞太區域,1
以往,1
全體,3
形態,1
COP21,1
成員,1
無法,2
更,3
(,1
停滯,1
政者,1
籌備,1
痕跡,1
大家,5
這個,24
裡面,1
事實,1
正面,1
育語,1
相信,2
出發,1
他們,4
悲劇,1
實質,1
同理,2
一次,1
及區域,2
尊嚴,1
用,1
克服,1
開放,1
輕重,1
能力,2
交換,1
得到,1
現行,1
覺得,1
擴大經濟,1
激發,1
司法,13
需求,1
研發,1
展現,2
經貿,3
發出,1
交接,1
國是,2
依據,2
目標,3
公民,4
秩序,1
徵了,1
減量,1
安心,1
選舉,4
正式,1
顧,2
以下,1
一步,2
發生,2
實,2
結語,1
渡過,1
我要,7
計畫,1
充滿,1
該,4
均衡,1
卻始,1
未來,15
就是,18
、,59
明天,1
因素,1
自,1
普遍,2
憲法,2
維持,2
互為,1
這,8
無足,1
走向,1
對話,2
重新,1
深切,1
以來,2
一定,1
政治,4
越來,3
如同,1
元首,2
期,1
開發,2
價值觀,2
接下,1
建構,2
拋下,1
就任,1
心理健康,1
基,1
可能,2
第一次,1
階段,1
絕不,1
優先,1
托育,1
家務事,1
兩千,1
人,12
今天,4
珍惜,1
正義,4
許多,1
兩岸過,1
被邊,1
所有,3
才,1
貴賓,1
協商來,1
字,1
時間,1
公義,1
重要,5
每一個,4
繼續,1
經有,1
始終,1
改變,7
意見,2
動力,1
精神,5
一句,1
這裡,2
不同,3
第一步,1
造福,1
零碎,1
做好,1
暖化,1
形塑,1
格局,1
推向,1
國際,4
綁,1
貧富,1
真正,1
責任,8
使,1
言,1
普及,1
立場,1
友邦,2
首先,1
一個,24
自然,1
再,2
而,4
也將,2
幾任,1
維護者,1
秉持,3
團結,7
務實,2
三百,1
節團,1
優勢,1
過長,1
包括,3
完善,1
協商,5
經濟,26
會前,1
事情,6
科技,1
復,1
路並,1
義無反顧,1
模式,8
推動,8
到,1
急速,1
放下,1
醫療,1
只有,2
確定,1
結構,6
會議,2
之中,1
所,4
調整,2
同盟,1
加薪,1
共識,1
請,1
原住,3
才能,1
會用,2
低落,1
堅定,4
走上,1
規則,1
需作,1
平移,1
支持者,1
告訴,4
很困,1
自主性,1
貿易,1
過於依賴,1
生產,1
發揮區域,1
不得,1
短視,1
告別,1
能量,1
教育,2
地揮,1
防制,1
氣體,1
破洞,2
駐台,1
變遷,2
總動員,1
角色,1
聯合,1
有,19
越,3
主義的,1
環境,4
信念,2
能夠,2
更應,1
久,1
促成,1
「,7
RCEP,1
許多來,1
從,4
還是,1
信心,1
報告,1
輸贏,1
性,1
時代,3
進行,1
等待,1
1992,2
人生,1
傳統,1
觀念,1
多年,2
這個歷,1
投資,1
食品安全,1
做到,2
動彈,1
把關,1
雙邊,1
請給,2
原民史觀,1
),1
轉,1
堅持,1
嚴格,1
迎,1
原則,3
完整,2
順利渡,1
防線,1
國家的關,1
線,1
力量,2
所有人,1
重建,1
補起,1
功能,1
種種,2
不會,4
釐,1
包袱,1
曾經,1
已經面,1
社會震,1
維護永續,1
財政並,1
陳,2
對外,2
茫然,1
追求,4
治安,2
緣化,1
好,2
這樣,1
什麼,1
經激,1
。,157
會積,1
談的歷,1
道,1
月,1
逐漸,2
屈服,1
幾件,1
照顧,2
並在,1
轉型,5
只是,3
此刻,1
國人,3
近利,1
不足以,1
決心,4
救援,1
態度,3
那個,1
1996,1
第一,3
協議,1
地,3
之下,1
在,36
將領導,1
深化,2
不樂觀,1
架,1
普世價值,1
縮,1
拋下過,1
別,1
公平,4
相關,5
意識,3
去,6
這一點,1
達四個,1
民族,3
心,2
道歉,1
唱國歌,1
主權,1
邀請,2
以永續,1
走向世界,1
廢棄物,1
代交,1
新時,1
一套,1
整合,1
整理,1
各層面,1
第三,2
機會,2
跟,1
透明,1
平價,1
要承擔,3
同時,3
兒少,1
坦誠交換,1
亞洲,1
應該,4
路,3
認識,1
互補,1
國民,3
突破,2
防止,2
社區,2
職典禮,1
都,12
將和相關,1
會,19
規畫,2
健全,1
複,1
很,1
但,1
變得,2
世界,3
轉換,1
一再,1
我,17
塑造,1
忘記,3
進程,2
超高,1
熟悉,1
有過,1
如果,4
信任,3
爭議,3
以,3
不幸,1
遲疑,1
民主化,1
隨機,1
政策,3
對過,1
集體,4
經有過,1
市場,2
感受,1
幾個,1
形成,2
幾件關,1
佈,1
成見,1
充分,1
人民,18
憲政體制,1
2016,1
低薪,1
唯有,1
生存,1
台灣成,1
問題,7
脈動,1
積極,8
照體系,2
攜手,1
友好,2
下一個,1
互動,2
連結,2
感動,2
一樣,2
內,3
親愛的,2
失去,4
倒退,2
守護,3
情勢,2
菁英,1
除了,1
政權,1
一致,1
期照,2
身為,1
卻,1
原因,1
和解,3
必須,9
資源,6
權,1
總統府,2
當前,1
網還,1
高素質,1
仍然,1
是,30
優質,1
委員會,2
因為,5
現象,1
之外,1
願意,1
起來,2
那,1
時期,1
老年人,1
地方,1
困擾,1
矛盾,1
剛好,1
成員廣泛,1
南海,1
引擎,1
提升,4
其他,3
實與,1
則是,1
頸,1
方法,2
處境,5
妄自菲薄,1
局,1
之內,3
多邊,1
特別,2
意承諾,1
民間,2
話,2
人口,2
常態,1
將會,5
權益,1
挖掘,1
做法,2
健康,1
查報,1
時候,1
走進,1
基礎,4
處理,4
不要,3
生產力,1
利用,2
不再,2
增進,1
除此之外,1
規劃,4
結果,1
承受,1
想,1
上路,1
中許,1
攸關,1
援助,1
換骨,1
檢討,1
有人,1
了解,1
需要,6
部落,1
決問題,1
出生率,1
霍,1
出口,1
關切,1
出現,1
彌平,1
新時代,3
不好,1
一些,1
選項,1
汙染,2
焦慮,1
民主自由,1
人權,1
以及,8
朋友,1
實力,1
企業,3
創新,3
防治,2
由,3
維護,2
社會力,1
有責任,1
歌詞,1
上,11
92,1
殺,1
只要,2
為雙,1
係,9
聯手,1
存異,2
尋求,1
將從,1
誤判,1
